ax,ay,az,gx,gy,gz,temp,flame
-3276,-128,15876,-1081,-586,-44,73,1
-3252,-112,15984,-1071,-608,-64,73,1
-3304,-120,16008,-1061,-586,-74,73,1
-3232,-64,15980,-1054,-619,-49,73,1
-3272,-176,15920,-1082,-630,-59,73,1
-3304,-36,16060,-1111,-634,-43,73,1
-3248,-72,15916,-1072,-631,-68,73,1
-3256,-88,15956,-1050,-593,-76,73,1
-3300,-136,15932,-1039,-605,-58,73,1
-3316,-72,16088,-1064,-608,-32,73,1
-3356,-108,16016,-1064,-646,-34,73,1
-3340,-96,15896,-1049,-611,-49,73,1
-3276,-104,15960,-1073,-636,-44,73,1
-3292,-68,16036,-1032,-586,-32,73,1
-3232,-128,16020,-1083,-658,-41,73,1
-3252,-96,15980,-1088,-646,-43,73,1
-3300,-88,16092,-1062,-651,-68,73,1
-3316,-96,16084,-1043,-594,-52,73,1
-3268,-80,15876,-1082,-621,-59,73,1
-3300,-112,15956,-1058,-632,-75,73,1
-3260,-52,16040,-1076,-600,-74,73,1
-3324,-120,15992,-1054,-609,-50,73,1
-3328,-68,15988,-1060,-607,-43,73,1
-3280,-100,15904,-1052,-587,-75,73,1
-3264,-96,15988,-1065,-618,-72,73,1
-3300,-136,16068,-1075,-604,-53,73,1
-3232,-124,16016,-1066,-600,-54,73,1
-3348,-56,15940,-1075,-648,-42,73,1
-3304,-112,16048,-1048,-595,-55,73,1
-3320,-80,16024,-1061,-583,-76,73,1
-3372,-100,16076,-1086,-624,-59,73,1
-3264,-108,15956,-1088,-618,-78,73,1
-3300,-116,15968,-1063,-619,-60,73,1
-3304,-80,16144,-1078,-590,-94,73,1
-3308,-148,16076,-1036,-584,-72,73,1
-3320,-76,16196,-1041,-609,-63,73,1
-3340,-64,15912,-1081,-631,-63,73,1
-3236,-56,16032,-1099,-637,-64,73,1
-3348,-64,16056,-1015,-618,-60,73,1
-3280,-88,15992,-1024,-557,-72,73,1
-3284,-56,16032,-1067,-614,-41,73,1
-3236,-76,16016,-1076,-617,-74,73,1
-3280,-48,16084,-1057,-610,-82,73,1
-3328,-64,15976,-1004,-600,-30,73,1
