ax,ay,az,gx,gy,gz,temp,flame,label
MPU6050 connection failed,,,,,,,,0
5008,-516.0,3336.0,-1417.0,822.0,669.0,141.0,1.0,0
-6284,1392.0,424.0,-3981.0,-3656.0,347.0,130.0,1.0,0
-10472,-2924.0,20384.0,-740.0,24.0,-1312.0,140.0,1.0,0
10160,2652.0,27740.0,927.0,2558.0,-464.0,144.0,1.0,0
8808,-488.0,32767.0,1642.0,3404.0,303.0,142.0,1.0,0
-14368,1320.0,29296.0,-1346.0,-3721.0,175.0,105.0,1.0,0
-14048,-2756.0,25088.0,-897.0,-3234.0,908.0,140.0,1.0,0
5696,-1500.0,2128.0,-1065.0,-730.0,1081.0,136.0,1.0,0
140,2908.0,-5336.0,-1943.0,641.0,544.0,120.0,1.0,0
1924,-796.0,-8040.0,-4059.0,-1975.0,698.0,96.0,1.0,0
-8436,-1672.0,3404.0,-3343.0,-3101.0,94.0,160.0,1.0,0
-8032,-6680.0,25324.0,-908.0,-848.0,-719.0,134.0,1.0,0
-10456,-9064.0,18776.0,-470.0,366.0,-1170.0,122.0,1.0,0
-16044,-7496.0,22984.0,-880.0,-394.0,-925.0,129.0,1.0,0
-14380,-10336.0,22728.0,-2824.0,-2071.0,-286.0,140.0,1.0,0
508,6964.0,-8648.0,-3625.0,-2850.0,387.0,143.0,1.0,0
0,0.0,0.0,0.0,0.0,0.0,137.0,1.0,0
-16385,-1.0,-1.0,-1.0,-1.0,-1.0,84.0,1.0,0
1220,3812.0,-8876.0,-4070.0,-1078.0,737.0,116.0,1.0,0
932,7248.0,-9920.0,-2789.0,-232.0,1000.0,132.0,1.0,0
-1788,5128.0,6632.0,-1157.0,-1673.0,1148.0,104.0,1.0,0
-11112,-4596.0,18716.0,-1447.0,-4721.0,379.0,160.0,1.0,0
-17364,3464.0,32767.0,-641.0,-850.0,302.0,129.0,1.0,0
8896,-364.0,32767.0,1426.0,2578.0,106.0,159.0,1.0,0
8040,-88.0,32767.0,1810.0,3629.0,120.0,128.0,1.0,0
8888,236.0,32767.0,2205.0,3796.0,-175.0,120.0,1.0,0
308,668.0,12444.0,2205.0,3796.0,-175.0,81.0,1.0,0
10200,920.0,32112.0,2295.0,4229.0,99.0,104.0,1.0,0
4764,5792.0,16572.0,1985.0,3544.0,-127.0,84.0,1.0,0
10912,952.0,30892.0,2264.0,4122.0,95.0,80.0,1.0,0
-6892,7580.0,32767.0,273.0,1397.0,255.0,132.0,1.0,0
2044,5172.0,30916.0,-1495.0,-3207.0,72.0,68.0,1.0,0
-16112,3956.0,32767.0,-1368.0,-3400.0,267.0,72.0,1.0,0
-14344,1396.0,27912.0,-1466.0,-3947.0,247.0,96.0,1.0,0
-14796,6924.0,32767.0,-1346.0,-4168.0,312.0,123.0,1.0,0
4844,1192.0,3500.0,-1026.0,-1805.0,1022.0,139.0,1.0,0
-2932,3408.0,-2432.0,-3227.0,-237.0,577.0,80.0,1.0,0
0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,0
-8840,-524.0,18784.0,-1067.0,-580.0,-1272.0,132.0,1.0,0
-5348,4168.0,11676.0,-1944.0,-1494.0,-912.0,112.0,1.0,0
-6144,3636.0,13796.0,-2392.0,-1797.0,-789.0,98.0,1.0,0
-3128,1252.0,12284.0,-1701.0,-1409.0,-471.0,87.0,1.0,0
-5276,5104.0,9660.0,23.0,1077.0,-547.0,148.0,1.0,0
