ax,ay,az,gx,gy,gz,temperature,flame
-11808.0,1328.0,9764.0,-817.0,-827.0,703.0,206.0,1.0
-16012.0,2988.0,8260.0,-1404.0,-2779.0,924.0,195.0,1.0
-4856.0,3316.0,13988.0,-2132.0,-2336.0,536.0,220.0,1.0
-2732.0,1848.0,15020.0,-2488.0,-1868.0,91.0,208.0,1.0
264.0,476.0,15504.0,-1932.0,-1704.0,-135.0,206.0,1.0
1904.0,-1060.0,16700.0,-1511.0,-2299.0,-265.0,198.0,1.0
7224.0,-1364.0,15596.0,-1025.0,-1373.0,-522.0,206.0,1.0
6076.0,-2388.0,22624.0,-485.0,-459.0,-719.0,213.0,1.0
5740.0,-1952.0,22692.0,-34.0,748.0,-760.0,201.0,1.0
3316.0,-988.0,24328.0,242.0,2035.0,-716.0,190.0,1.0
856.0,-2028.0,27740.0,-163.0,2492.0,-492.0,207.0,1.0
-6708.0,-1412.0,13776.0,-506.0,1357.0,-4.0,213.0,1.0
-8732.0,216.0,9636.0,-671.0,-78.0,600.0,192.0,1.0
-11328.0,2116.0,6620.0,-984.0,-1603.0,834.0,185.0,1.0
-8692.0,2488.0,8400.0,-1400.0,-2817.0,917.0,187.0,1.0
-6292.0,2100.0,9192.0,-1919.0,-2337.0,619.0,204.0,1.0
-5292.0,3000.0,11268.0,-2283.0,-2119.0,401.0,234.0,1.0
4772.0,-788.0,6796.0,-2483.0,-1864.0,83.0,212.0,1.0
4980.0,-1108.0,6432.0,-2356.0,-1626.0,-32.0,202.0,1.0
4972.0,-964.0,6532.0,-1898.0,-1762.0,-103.0,216.0,1.0
4168.0,-1020.0,7684.0,-1612.0,-2197.0,-228.0,208.0,1.0
6664.0,-1628.0,16344.0,-1257.0,-1980.0,-403.0,199.0,1.0
7908.0,-1812.0,16248.0,-889.0,-823.0,-616.0,226.0,1.0
8968.0,-2268.0,18688.0,-448.0,-474.0,-708.0,212.0,1.0
6416.0,-1732.0,22048.0,-17.0,760.0,-742.0,202.0,1.0
3112.0,-928.0,24228.0,227.0,1924.0,-734.0,201.0,1.0
184.0,-1960.0,28700.0,-96.0,2605.0,-585.0,204.0,1.0
-7332.0,-1472.0,13180.0,-470.0,1777.0,-151.0,224.0,1.0
-11192.0,1792.0,8764.0,-649.0,-198.0,631.0,194.0,1.0
-15824.0,2928.0,8044.0,-1264.0,-2618.0,956.0,197.0,1.0
-4312.0,2844.0,14256.0,-2105.0,-2312.0,562.0,205.0,1.0
312.0,1812.0,14448.0,-2531.0,-1821.0,40.0,209.0,1.0
5740.0,-840.0,5928.0,-1949.0,-1768.0,-140.0,216.0,1.0
7220.0,-1516.0,16024.0,-1402.0,-2299.0,-317.0,195.0,1.0
8380.0,-2268.0,19232.0,-909.0,-856.0,-637.0,240.0,1.0
7304.0,-1860.0,24188.0,-214.0,61.0,-769.0,199.0,1.0
1316.0,-1964.0,27020.0,223.0,1632.0,-762.0,210.0,1.0
1988.0,-2500.0,26104.0,-211.0,2494.0,-551.0,196.0,1.0
-1068.0,-1172.0,17852.0,-539.0,1357.0,27.0,208.0,1.0
-17184.0,4352.0,9844.0,-1014.0,-1733.0,865.0,231.0,1.0
-9200.0,2476.0,8284.0,-1794.0,-2544.0,796.0,199.0,1.0
-4748.0,2708.0,14552.0,-2515.0,-2017.0,112.0,214.0,1.0
-276.0,300.0,16404.0,-1866.0,-1968.0,-125.0,228.0,1.0
6036.0,-1256.0,16244.0,-1290.0,-2075.0,-378.0,193.0,1.0
8196.0,-2296.0,18032.0,-662.0,-526.0,-691.0,223.0,1.0
4744.0,-1340.0,23484.0,-42.0,792.0,-768.0,199.0,1.0
1168.0,-1984.0,27320.0,237.0,2252.0,-735.0,192.0,1.0
2980.0,-2144.0,24900.0,-358.0,2241.0,-374.0,239.0,1.0
-14008.0,1848.0,7496.0,-629.0,347.0,482.0,193.0,1.0
-17224.0,4168.0,10016.0,-1326.0,-2733.0,880.0,198.0,1.0
-9208.0,2584.0,8344.0,-2137.0,-2336.0,537.0,221.0,1.0
5716.0,-1052.0,5692.0,-2447.0,-1699.0,16.0,203.0,1.0
988.0,296.0,14084.0,-1723.0,-2081.0,-157.0,210.0,1.0
3560.0,-1252.0,17424.0,-1165.0,-1869.0,-415.0,199.0,1.0
6192.0,-2200.0,23076.0,-407.0,-317.0,-707.0,215.0,1.0
5416.0,-1844.0,23044.0,6.0,1016.0,-752.0,221.0,1.0
1556.0,-1768.0,26112.0,157.0,2362.0,-694.0,197.0,1.0
-6112.0,-1360.0,12704.0,-424.0,1794.0,-162.0,235.0,1.0
-12036.0,2080.0,7904.0,-682.0,-39.0,609.0,196.0,1.0
-16568.0,4568.0,9792.0,-1309.0,-2650.0,978.0,193.0,1.0
-3404.0,1868.0,15504.0,-2201.0,-2283.0,473.0,215.0,1.0
2968.0,676.0,11048.0,-2437.0,-1763.0,26.0,206.0,1.0
5352.0,-1144.0,6252.0,-1950.0,-1738.0,-152.0,221.0,1.0
7672.0,-1800.0,16168.0,-1319.0,-2267.0,-378.0,194.0,1.0
9424.0,-2188.0,19436.0,-778.0,-728.0,-645.0,236.0,1.0
6660.0,-1820.0,24704.0,-286.0,-186.0,-729.0,205.0,1.0
1584.0,-1576.0,25788.0,90.0,1357.0,-755.0,198.0,1.0
240.0,-2244.0,28360.0,181.0,2302.0,-684.0,195.0,1.0
3216.0,-1904.0,24748.0,-305.0,2308.0,-403.0,224.0,1.0
-508.0,-960.0,19380.0,-532.0,930.0,246.0,204.0,1.0
